title,company,job_desc,Keywords,Competitiveness,salary,location,date_posted,url
"Software Engineer lll, Machine Learning Frameworks, Google R...",Google,"Note: By applying to this position you will have an opportunity to share your preferred working location from the following: Mountain View, CA, USA; Cambridge, MA, USA; San Francisco, CA, USA.
Minimum qualifications:

Bachelor’s degree or equivalent practical experience.
2 years of experience with software development in one or more programming languages, or 1 year of experience with an advanced degree.
2 years of experience with data structures or algorithms in either an academic or industry setting.
Experience in programming language Python.
Preferred qualifications:

Master's degree or PhD in Computer Science, Engineering, or related technical field.
2 years of experience with machine learning algorithms and tools (e.g., TensorFlow), artificial intelligence, deep learning, and/or natural language processing.
Experience developing accessible technologies.
Experience building compilers, interpreters, or program transformation tools. analyzing the performance / profiling of GPU or TPU programs.
Experience in building Machine Learning infrastructure, data pipelines, and real time large-scale data processing.
Experience working in open source, software evolution, and maintenance, and passion for growing and sustaining a user and developer community for programming tools.
About the job
Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.
Research happens at Google everyday, on many different embedded teams throughout the company. Our research reaches the user through both services and products such as Search, Maps, Google Assistant, Google Translate, Google Cloud and our computing, storage, and networking infrastructure. To achieve this, we’re working on a wide variety of projects that utilize the latest state-of-the-art technologies that push the boundaries of what is possible.
Responsibilities
Participate in engineering JAX core, and contribute to the JAX efforts to create and sustain a community of users and contributors both inside Alphabet and externally.
Design and implement new features and tooling for JAX developers and users, and improve existing features in the JAX core system.
Contribute to JAX efforts to create and sustain a broad community of users and contributors, including managing contributions, answering user and contributor questions online and in office hours, writing documentation and improving user journeys, and representing JAX at industry and research conferences.
Collaborate with Alphabet and external teams that build the JAX ecosystem, including compilers, runtime systems, performance engineering for scientific computations on accelerators, data input pipelines, high-level libraries, and production infrastructure.
Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form.","Python, ML, AI, Deep Learning, NLP, compilers, interpreters, GPU, data pipelines, software engineering",Very High,,"San Francisco, CA+21 locations",Posted11 days ago,https://www.indeed.com/rc/clk?jk=bf7c35fa59284c2d&fccid=a5b4499d9e91a5c6&vjs=3
Machine Learning Engineer,Emsi Burning Glass,"At Emsi Burning Glass, Machine Learning Engineers improve the efficiency of our data science capabilities by implementing tooling and pipelines that automate the training, testing, and deployment of data science models. ML Engineers work to leverage and scale the business by applying software engineering techniques and principles to data science work. Machine Learning Engineers work with the team to build end-to-end data science and machine learning systems and deploy the models to our APIs. Machine Learning Engineers collaborate with Software Engineers, Systems Engineers, and Hardware Engineering teams across the company.Core ResponsibilitiesImplement, use and promote the use of experiment tracking systems to ensure that model performance is reproducible, observable, and debuggableDevelop and implement scalable and efficient model training workflows on large-scale datasets to address various business problems using sophisticated statistical modeling, machine learning techniquesWrite and test pipeline code for developing and validating ML models, and automating tests and deployment.Develop workflows for debugging model performanceDevelop transient large-scale computing clusters, where appropriate, for model training using infrastructure-as-code and the cloud.Coordinate with cross-functional teams on new ideas ensuring consistency across the platform.Perform other duties as assigned.Adhere to Company’s core values.Credentials and ExperienceBachelor’s degree or above in Data Science, or a field with a strong quantitative and analytic focus (e.g. Computer Science, Engineering, Mathematics, Statistics, Operations Research or other related fields).3 - 5 years of industry or graduate research experience solving analytical problems and building models using quantitative, statistical or machine learning approaches.Emsi Burning Glass is an equal opportunity employer.Job Type: Full-time","ML, Statistical Analysis, Software Engineering",Medium,,Remote,Posted12 days ago,https://www.indeed.com/company/Emsi-Burning-Glass/jobs/Machine-Learning-Engineer-66a6706f22b8809d?fccid=402748994103b495&vjs=3
Machine Learning Engineer,Proton.ai,"**IMPORTANT NOTE: To apply for this position please go to this link: https://app.beapplied.com/apply/q4rj5uotjo?utm_source=indeedWe do not review applications on Indeed.**About UsProton.ai is revolutionizing wholesale distribution. Distributors sell nearly every physical good you come across. Key to the economy, they make up over 28% of GDP. But there’s a problem. Selling as a distributor is complicated. They carry hundreds of thousands of complicated products, making it impossible for sales teams to know what their customers need. Proton cuts through this complexity with machine learning. We provide a solution that modernizes distributors' sales efforts. And in doing so, we help distributors better serve their customers and grow.Our company is in hypergrowth mode. We’ve grown by more than six fold year over year.The RoleAt Proton, we're bringing cutting-edge machine learning to B2B distribution. By predicting what customers will buy, we're improving sales and efficiency, and driving growth. Of course, none of this matters without a great way to use our tool. We want to solve big problems with big solutions. Our goal is to offer deep, creative solutions to our users, not a hodgepodge of thoughtlessly assembled buttons and text fields.As a Machine Learning Engineer, you'll build the core machine technologies at the heart of our application. While we are pragmatic, we also want to push the envelope. Our machine learning team uses cutting-edge techniques when necessary. You'll go far deeper than basic linear regressions.What you'll doWork with our product management team to find translational applications of cutting-edge machine learning techniques to our user problemsCollaborate with our infrastructure and security team to deliver machine learning insights securely, at speed, and at scaleResearch and learn about new techniques and model architecturesApply basic and complex machine learning models to power our core featuresRun and monitor field experiments to assess and refine your modelsExperience that may be helpfulExperimental design and hypothesis testingFamiliarity with machine learning frameworks like TensorFlow or PyTorchComfort reading, understanding, and applying machine learning researchFamiliarity with neural network architectures such as transformers and GANs for natural language processing, recommender systems, and classification problemsBenefitsThis is a full-time, fully remote position. Competitive salary $115,000 to $150,000 depending on level (United States; cost of living adjusted for other countries), plus equity, health benefits (we pay 99%), 401k and a generous vacation policyWe're a remote-first company and open to candidates anywhere in the world. While we try to accommodate employee's schedules, our business largely operates on East Coast hours.Our Hiring ProcessAs you may notice, our hiring process is a little different. At Proton.ai, we assess candidates using an unbiased and thoughtful process. We ask questions directly related to the work you will be doing. Resumes are optional. They are not the focus of our selection process. We'd encourage you to visit our engineering blog to learn more about how we hire and how to ace our interview.To apply for this position please go to this link: https://app.beapplied.com/apply/q4rj5uotjo?utm_source=indeedWe do not review applications on Indeed.Job Type: Full-timePay: $115,000.00 - $150,000.00 per yearBenefits:401(k)Health insuranceParental leaveSchedule:Monday to FridayWork Location: Remote","TensorFlow, PyTorch, ML, NLP",High,"$115,000 - $150,000 a year","Boston, MA•Remote",EmployerActive 3 days ago,https://www.indeed.com/company/Proton.ai/jobs/Machine-Learning-Engineer-1136ce1b1fee59eb?fccid=8f9032fe6d14a3fb&vjs=3
Machine Learning Engineer,Intel,"Job Description
Builds machine learning based products/solutions, which provide descriptive, diagnostic, predictive, or prescriptive models based on data. Uses or develops machine learning algorithms, such as supervised and unsupervised learning, deep learning, reinforcement learning, Bayesian analysis and others, to solve applied problems in various disciplines such as Data Analytics, Computer Vision, Robotics, etc. Interacts with users to define requirements for breakthrough product/solutions. In either research environments or specific product environments, utilizes current programming methodologies to translate machine learning models and data processing methods into software. Completes programming, testing, debugging, documentation and/or deployment of the solution/products. Engineers Big Data computing frameworks, data modeling and other relevant software tools.
The ideal candidates must exhibit the following behavioral traits/skills:
Effective written and oral communication skillsresults-producing teamwork.
Problem solving skills.
High level of independence and initiative.
proven track record of driving changes and solutions
Creative examples, prototypes, demonstrations to help audience buy into the solution
Unafraid of taking risks, failing fast, and role modeling accountability/accepting failures and learning from it.
Demonstrated ability to move from strategic focus to the management of tactical detail while simplifying complex and conflicting tasks
Qualifications
You must possess the below minimum qualifications to be initially considered for this position. Preferred qualifications are in addition to the minimum requirements and are considered a plus factor in identifying top candidates.
Experience listed below would be obtained through a combination of your schoolwork/classes/research and/or relevant previous job and/or internship experiences.

Minimum Qualifications
Candidate must possess a PhD (or expect the required degree by June 2022) in Engineering, Sciences, Math or equivalent fields of study, focused on math models.
Candidate should have a GPA of 3.5 minimum.
Preferred Qualifications
1+ years of experience in problems on a variety of domains and use cases including in semiconductor manufacturing/design
Inside this Business Group
As the world's largest chip manufacturer, Intel strives to make every facet of semiconductor manufacturing state-of-the-art - from semiconductor process development and manufacturing, through yield improvement to packaging, final test and optimization, and world class Supply Chain and facilities support. Employees in the Technology Development and Manufacturing Group are part of a worldwide network of design, development, manufacturing, and assembly/test facilities, all focused on utilizing the power of Moore’s Law to bring smart, connected devices to every person on Earth.
Intel Corporation will require all new U.S. employees to be fully-vaccinated for Covid-19 as a condition of hire unless they have an approved accommodation in place under applicable law. Newly-hired employees will be required to provide proof of vaccination prior to their start date.
Posting Statement

All qualified applicants will receive consideration for employment without regard to race, color, religion, religious creed, sex, national origin, ancestry, age, physical or mental disability, medical condition, genetic information, military and veteran status, marital status, pregnancy, gender, gender expression, gender identity, sexual orientation, or any other characteristic protected by local law, regulation, or ordinance.","Mathematical Modelling, Data Analytics, Computer Vision, Robotics",High,,"Hillsboro, OR 97124+2 locations",Posted12 days ago,https://www.indeed.com/rc/clk?jk=8edfb3ae037adce1&fccid=936367796261bd6e&vjs=3
Senior Machine Learning Engineer,Engtal,"Our client is one of the most exciting stealth start-ups in the US. They're currently in stealth mode and have a world-changing AI platform focused on curing cancer. More details will be provided at phone screen stage.Job RequirementsYou will work with a team of machine learning scientists and engineers to develop and deploy AI-based biomarkers to support the personalization of cancer therapy. You will work closely with our engineering team to build production-grade APIs and serving models that integrate with our clinical productMinimum Qualifications: BS or MS in an AI-related field (CS, EE, Stats, etc.) or substantial development experience in AI.Strong programming skills, competitive in ACM-ICPC or other competitions.Substantial experience with Python, and deep learning libraries such as PyTorch or TensorflowExperience in implementing high-performance and large-scale deep learning systems.Preferred Qualifications: Full time industry experience in deep learning research/product.Experience mentoring and advising other engineers.Job Type: Full-timePay: $200,000.00 - $400,000.00 per yearBenefits:401(k)401(k) matchingDental insuranceEmployee assistance programEmployee discountFlexible scheduleFlexible spending accountHealth insuranceHealth savings accountLife insurancePaid time offParental leaveProfessional development assistanceReferral programRelocation assistanceRetirement planTuition reimbursementVision insuranceSchedule:Monday to FridaySupplemental Pay:Bonus payCommission paySigning bonusWork Location: Remote","AI, Programming, Python, PyTorch, TensorFlow",Very High,"$200,000 - $400,000 a year",+2 locationsRemote,EmployerActive 2 days ago,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B7Z8t6fEMDh_BTkcJVPNJicKvZQEBTy5HSwyHa20ewqmyfWNXjNsfvmtdqiCQm-Ez-Itw_iDNICiGAQoHtKNLn5KE4MO3KbBv5FE9przGjj9o6RRvBoyvCn68m2o_K7AAlMC1GvzRxptHDL4pnK7QBt_EhOwr2jXrQ-yZiKaen7LTUvsD6DxVKqNrIvTmJX01lpuUd0D2qFETd9jYczoNrcXkjlgyqKNVLYuRcsB6gA3Klogav8rZZXc0sAholH_1OxlUcl6ddhLjrxn0olwSmsgjD5f5msrYh0FlxlB6K9DiJjJgQ31hK-yhT-uFRDQ0RNEakGMSnC4OKSC9TyOTVDE3s8d05HMnSdZhVfdAUW0svqIrQpBmE6gfTW3QRMDLWzPwoAOH4Yfusjglfk7NI3SdOboH1wLJTF9iR8f6MBG8XMNNoEBUCjOIY1TQ19jWELd3udtE-Bu9EHmz1GBYFv8H-X8lR_MC1s2ZQlIB_nKNtVmr3W-0t&p=11&fvj=1&vjs=3
Machine Learning Engineer,SAIF,"While it may sound ornate to us now, Johannes Gutenberg’s printing press – with its metal alloy, mold, and assembly line method – made books available to the masses and spread ideas at a scale that had never been done before. In essence, it sparked the information revolution.At SAIF, we’re seeking a machine learning engineer to usher in our own information revolution. The software and technology you’ll use to do that – Databricks, AWS, and MLflow, to name a few – are slightly more advanced than the oil-based ink Gutenberg used, but they’ll serve the same purpose: making information and data available and useful to SAIF employees and customers on a scale yet unseen.With your experience and skills in automating the deployment of data science models and building repeatable pipelines, you’ll help us address complex issues like worker safety, fraud, and the evolving customer experience. You’ll work alongside data scientists, architects, and engineers to empower data-driven decision-making at SAIF on behalf of our customers, real people across Oregon who depend on us every day.If you’d like to help shape the contours of what's taking shape for SAIF’s analytics and data group, as well as work at a flexible, mission-driven, community-oriented company, apply as our new machine learning engineer.Qualifications: Knowledge and experience with MLOps as a practice, including experience in MLOps using at least one of the popular frameworks or platforms (e.g., Databricks, MLFlow, AWS Sagemaker). Minimum 4 years of design and production automation (build, validate, deploy, test automation) end-to-end automated data and ML pipelines, including within cloud webservices (AWS, Azure, Databricks), data lake platforms, and machine learning platforms.Minimum 4 years of experience working in an AI / ML / data science context alongside Data Scientists and/or ML EngineersDemonstrated experience with data ETL/ELT and processing technologies such as SSIS, Apache Airflow, Apache Spark, and Fivetran.Other combinations of skills and experience may be considered.Job Type: Full-timePay: $7,430.00 - $9,905.00 per monthSchedule:8 hour shiftDay shiftMonday to FridayWork Location: One location","AWS, Azure, Databricks, data lake platforms, ML, AI, data science",Medium,"$7,430 - $9,905 a month","Salem, OR (Central Area area)",EmployerActive 5 days ago,https://www.indeed.com/company/SAIF/jobs/Machine-Learning-Engineer-38412d4a24eb9af0?fccid=4ab7c86deef1e90a&vjs=3
Machine Learning Engineer,Summit Tech Partners,"As a part of our organization, you will work with our Data Science and BUs to define solutions for operationalizing data-driven decision making in a cost effective and scalable manner. A full stack engineer with deep understanding of data science and software engineering practices.Strong computer science fundamentals such as algorithms, data structures, multithreading, object-oriented development, distributed applications, client-server architecture.Design and implement Machine learning models and data ingestion pipelines.Develop and support a platform that enables data scientists to rapidly develop, train, and experiment with machine learning models.Expand and optimize data pipelines, data flow, and collection for cross functional teams.Create and maintain optimal data pipeline architecture by assembling large, complex data sets to meet functional and non-functional business requirements.Identify and implement internal process improvements including automating manual processes, optimizing data delivery, and redesigning infrastructure for greater scalability.Support the building of machine learning, data platforms, and infrastructure required for optimal data extraction, transformations, and loading of data from a wide variety of data sources.Work with architecture, data, and design teams to assist with data related technical issues and support data infrastructure needs.Implement Machine Learning (ML) and Big Data platforms in Hybrid and multi-cloud environment specifically in AWS SageMaker environmentExperience in container, streaming and messaging technologies is a plusAdvanced proficiency with Python framework, Java and ScalaExtensive knowledge of ML frameworks, libraries, data structures, data modeling, and software architecture.Good understanding of mathematics, statistics, and algorithms.Excellent analytical and problem-solving abilities.Great communication and collaboration skillsJob Types: Full-time, ContractPay: $80.00 - $95.00 per hourBenefits:401(k)Dental insuranceHealth insurancePaid time offVision insuranceSchedule:8 hour shiftMonday to FridayCOVID-19 considerations:Remote workEducation:Bachelor's (Preferred)Experience:Python: 2 years (Required)Machine learning: 2 years (Required)Work Location: Remote","ML, Big Data, AWS, ML, data structures, data modelling, software architecture",Medium,$80 - $95 an hour,Remote,EmployerActive 2 days ago,https://www.indeed.com/company/Summit-Tech-Partners/jobs/Machine-Learning-Engineer-981106657b50e793?fccid=a5d42e7169119faf&vjs=3
"Research Scientist, Algorithms, Fitbit",Fitbit,"Note: By applying to this position you will have an opportunity to share your preferred working location from the following: San Francisco, CA, USA; Mountain View, CA, USA; Palo Alto, CA, USA.
Minimum qualifications:

Master’s degree in Electrical Engineering, Biomedical Engineering, Applied Physics, Computer Science, a related technical field, or equivalent practical experience.
3 years of research experience.
Experience with machine learning and signal processing (e.g., product design/release, publications, etc.).
Preferred qualifications:

1 year of experience in a technical leadership role.
Experience working with programming languages and developing (e.g., Python and C).
Experience with taking an algorithm from the concept stage to the product stage with the appropriate validation.
Experience working with physiological sensors and data.
Experience with processing large data sets.
About the job
Our research team supports Google's wide reaching research goals, including the area of consumer health. As a Research Scientist, you may potentially work on features such as activity, sleep, mindfulness, and nutrition using consumer devices.
In this role, you will solve basic scientific problems associated with the development and validation of algorithms that can help extract useful information from physiological sensor signals. You will have a unique opportunity to join a highly collaborative and ambitious team, and support products and features that can potentially help millions of people improve their health and wellness.
Fitbit’s diverse line of innovative products of smartwatches, trackers and smart scale help people lead healthier, more active lives by empowering them with data, inspiration and guidance to reach their health and fitness goals. Our products deliver personalized experiences, insights and guidance through leading software and interactive tools to support our users’ health and wellness. Partnering with Google will expand our resources and global platform, and we will be able to accelerate innovation in the wearables category to scale faster, and make health even more accessible to everyone.
Responsibilities
Develop algorithms to process and analyze physiological sensor data (e.g., data from optical photoplethsymograms, accelerometers, electrocardiograms, pressure monitors, etc.).
Develop machine learning algorithms to extract meaningful information from large data sets (i.e. recognize a disease condition based on a diverse set of longitudinal physiological signals).
Partner with Engineering teams to develop software for inclusion in products based on algorithms.
Design experiments to test and validate physiological processing algorithms (i.e. working with benchtop testing systems).
Partner with Product Managers, Designers, Machine Learning Engineers, Hardware Engineers, and clinical experts to explore new research in the health sensing space, assuring both impact and regulatory compliance.
Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form.","ML, Signal Processing, Python, C",High,,"San Francisco, CA 94105 (Financial District/South Beach area)",Posted1 day ago,https://www.indeed.com/rc/clk?jk=6fa49f67c3ee1708&fccid=477cda8eacc52791&vjs=3
Machine Learning Engineer (Junior),Nexient,"***Update: Moving forward and not limited to 2021, Nexient will be supporting fully remote and hybrid work models for all team members***

We’re happy to announce that as part of our efforts to embrace, adapt, and provide more flexibility to our team members—Nexient will be adopting a new set of work models. Whether it’s fully remote, hybrid, or full-time at the office—you now have the option to choose the work arrangement that best suits your needs and preferences. You are not locked into any selection and can make changes at any point if needed.
Don’t only dream about what’s next – come build it with us!
Nexient specializes in bringing a “Product Mindset” to our work, using small, nimble teams, Agile thinking and other techniques from product development to build great custom software people love to use.
And as America’s leading 100% US, 100% Agile software services partner, we’re building it here instead of sending tech jobs offshore.
People are noticing.
Our clients include some of America’s favorite brands in retail, healthcare, financial services and more – but also some very cool product companies you may not have heard of yet. We’re recognized as a Gartner Cool Vendor, HfS Hot Vendor and the only 100% US tech company in the World’s Top 100 Outsourcers. You might have read about us in The New York Times.
Nexient combines:
 Silicon Valley innovation (through our Bay Area innovation hub, and network of startups and emerging technology partners)
 Scalable, Midwest delivery (with 100+ Agile teams in high talent cities like Ann Arbor, Michigan) Onsite collaboration (with product managers and other key roles working face-to-face with client teams around the country)
Come build with us!
Required Technical Skills:
Familiarity with machine learning fundamentals
Aware of optimization techniques and differences (gradient decent variants, hyperparameter tuning, regularization)
Some experience with different problems and domains, ideally specialized in at least one (supervised, unsupervised, generative, control/RL, anomaly detection, timeseries, etc.)
Familiarity with a couple of traditional ML models (k-means, KNN, decision trees, SVM, Bayesian/graphical models, Gaussian process, etc.)
Basic understanding of deep learning fundamentals (CNN, RNN, attention/memory, Autoregressive) and ideally some applications of extensions (Transformer, LSTM, ResNet, etc.)
 Experience coding with popular frameworks
Solid with Python (basic data structures, coding patterns) along with common data, math and visualization libraries
Able to work in different coding environments (local, notebooks, containers) and familiar with software engineering workflows (testing, code management/Git)
Loading and saving large data sets and models efficiently
Nice to have:
Structuring code to make it modular and deployable (logging and metrics, adhering to common deployment interfaces/hooks)
Ability to follow papers/theory and adapt associated models
NLP specialization (NLU, NLI, QA, BERT, GPT, T5, XLNet, etc.)
MLOps and cloud environment (resource configuration, optimization)
Data engineering (large scale data processing in batch or stream, security and configuration best practices)
Benefits & Perks:
Company sponsored health, dental, vision insurance and flexible spending account (FSA) for employees and their families including domestic partners
Paid Vacation Time and company holidays
401K plan
Lunch & Learn
Passionate, collaborative and awesome co-workers
World class training and career mentorship


Nexient is an inclusive equal opportunity employer. At Nexient, your uniqueness makes us better. Your uniqueness is why you are valued, you are heard, you add to our culture, and you belong. Diversity & Inclusion is hard coded into our DNA, and at the core of everything we do. Together, not separately, we strive to become even more diverse to help fuel our innovation and connect us closer with the clients and communities we serve.","ML, Optimization, Deep Learning, NLP, Python, Cloud, Data Engineering",High,,"Ann Arbor, MI 48108+6 locations•Remote",Posted24 days ago,https://www.indeed.com/rc/clk?jk=8b6571d35d580ccb&fccid=a2428e4814a1eff5&vjs=3
Machine Learning Engineer,Salesforce,"To get the best candidate experience, please consider applying for a maximum of 3 roles within 12 months to ensure you are not duplicating efforts.
Job Category
Products and Technology
Job Details
We're hiring across teams, which include: Analytics, Commerce, Einstein, IoT, Mulesoft, Search Relevance, Security, Service, Service Protection team, Marketing Cloud


Salesforce is looking for an exceptional engineer ideally with a dual background in machine learning and software engineering to help us take on one of the world’s most extensive data sets and transform it into amazing products that feel like magic. You will work on cutting-edge AI applications and products. Brainstorming data product ideas with data scientists and engineers to build data products used by hundreds of millions people every day.
LOCATION: We are open to Fully Remote, Flex (1-3 days/week in the office), or Office-Based (4-5 days/week in office) work arrangements.

As a Machine Learning Engineer, you will be tasked with analyzing large data sets and building expert systems that improve our understanding of consumer behavior and use that knowledge to improve the services we offer. You will build and improve preprocessing pipelines, API endpoints, database controllers, and machine learning development tooling. This includes performing complex statistical analysis on non-routine problems and working with engineers to operationalize models at scale into production systems and optimize algorithms in disturbed settings. You will work in an agile environment and interface with product managers, fellow engineers, and teams across Salesforce.


In your role as a Machine Learning Engineer, you will partner with various teams to develop customer-level recommendations and automated solutions, integrating into existing Salesforce technologies and building new ones. You'll also work with others on the team to harness the power of Salesforce’s data with machine learning, to deliver machine learning / artificial intelligence solutions at scale.


Equality is a core value at Salesforce. We strive to build a workplace that reflects society and where everyone feels seen, valued, heard and empowered to create the best work of their careers. Learn more about our commitment to Equality


Responsibilities
Understand business problems and use mathematical frameworks to deliver machine learning models that can be used to solve those problems
Clean, analyze, data-mine, and visualize a variety of consumer data to identify opportunities, insights, and anomalies
Set up large and complex data pipelines on public cloud infrastructures such as AWS, Microsoft Azure, and GCP
Build and improve preprocessing pipelines, API endpoints, database controllers, and machine learning development tooling
Operationalize complex machine learning problems to a massive scale
Effectively communicate complex findings in a concise, structured, and clear manner to a non-technical audience
Navigate ambiguity, solve complex challenges, and operate in a fast-paced team environment
 Participate in the team’s on-call rotation to address complex problems in real-time and keep services operational and highly available.

Preferred Qualifications
Bachelor’s Degree in computer science, mathematics, or another quantitative discipline or equivalent work experience
Experience setting up, building, and maintaining production data pipelines
Experience starting large analytical projects, and collaborating with teams across geographies and functions
Experience solving business problems and using mathematical techniques using available data
Experience with CI/CD build systems (TeamCity, Jenkins, CircleCI)
Experience in data processing and working with functional programming techniques using Scala and Python
Experience with data engineering in a distributed computation framework (Apache Spark preferred)
Experience with query languages and mining data
Highly skilled with designing and developing scalable, resilient, and fault-tolerant analytical systems in enterprise production environments
Experience with big data distributed systems and databases (Kafka, Cassandra, ElasticSearch)
In school, or graduated within the last 24 months? Please visit FutureForce for opportunities
For Colorado-based roles: Minimum annual salary of $82,400. You may also be offered a bonus, restricted stock units, and benefits. More details about our company benefits can be found at the following link: https://www.getsalesforcebenefits.com/ .
You can find other info there as well- including wellbeing reimbursement, generous parental leave, adoption assistance, fertility benefits, and more. Visit for the full breakdown!
*LI-Y
Accommodations
If you require assistance due to a disability applying for open positions please submit a request via this Accommodations Request Form .
Posting Statement
At Salesforce we believe that the business of business is to improve the state of our world. Each of us has a responsibility to drive Equality in our communities and workplaces. We are committed to creating a workforce that reflects society through inclusive programs and initiatives such as equal pay, employee resource groups, inclusive benefits, and more. Learn more about Equality at Salesforce and explore our benefits.
Salesforce.com and Salesforce.org are Equal Employment Opportunity and Affirmative Action Employers. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender perception or identity, national origin, age, marital status, protected veteran status, or disability status. Salesforce.com and Salesforce.org do not accept unsolicited headhunter and agency resumes. Salesforce.com and Salesforce.org will not pay any third-party agency or company that does not have a signed agreement with Salesforce.com or Salesforce.org .
Salesforce welcomes all.
Pursuant to the San Francisco Fair Chance Ordinance and the Los Angeles Fair Chance Initiative for Hiring, Salesforce will consider for employment qualified applicants with arrest and conviction records.","ML, Analytics, IoT, Security, Cloud, AWS, Azure, GCP, Distributed Systems",High,"$82,400 a year",+40 locationsRemote,Posted30+ days ago,https://www.indeed.com/rc/clk?jk=ed65b34423d267bf&fccid=4027cfd917e1ee29&vjs=3
Machine Learning Engineer,Morgan Stanley,"Machine Learning Engineer

Job Number: 3175271
POSTING DATE: May 20, 2021
PRIMARY LOCATION: Americas-United States of America-Georgia-Alpharetta
EDUCATION LEVEL: Bachelor's Degree
JOB: Development
EMPLOYMENT TYPE: Full Time
JOB LEVEL: Associate

DESCRIPTIONDevelop analytic models to predict fraud in various payments such as wires, checks etc.Monitor performance of existing models and fine tune themHelp fraud ops team migrate their existing flows from greenplum to hadoopBuild python based tools to monitor data quality among featuresets used across various models.Build tableau dashboards to visualize model metrics and results

QUALIFICATIONSDevelop analytic models to predict fraud in various payments such as wires, checks etc.Monitor performance of existing models and fine tune themHelp fraud ops team migrate their existing flows from greenplum to hadoopBuild python based tools to monitor data quality among featuresets used across various models.Build tableau dashboards to visualize model metrics and results","Hadoop, Python, tableau, ",Medium,,"Alpharetta, GA+4 locations",Posted30+ days ago,https://www.indeed.com/rc/clk?jk=51dfbaddedd7495b&fccid=0c39fb2c91742dcf&vjs=3
"Machine Learning Engineer, Comment",TikTok,"TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Mumbai, Singapore, Jakarta, Seoul and Tokyo.

In TikTok comment team, you’ll have the opportunity to build state-of-the-art machine learning systems on our large-scale data. Our team is responsible for operating and improving the comment system, comment ranking, comment section vibe which includes but not limited to, safety, sentiment and filtering inappropriate language. Our goal is to provide the best user experience in TikTok comment section, and ultimately encourage more content creation and author-audience interaction.

Experience you will gain

Tackle real-world challenges using state-of-the-art machine learning and NLP techniques
Deliver great impact on hundreds of millions of users
Hold end-to-end ownership of production machine learning models
Real product sense and problem solving experience

Responsibilities

Develop highly-scalable classifiers, models and algorithms and tools to filter risky or unfriendly comments which violate our community guidelines
Understand product objectives and take full advantage of state-of-the-art machine learning and NLP techniques to improve comment ranking
Own the whole life cycle of a machine learning model in production, from data collection and analysis, feature extraction, model training, evaluation, deployment, and refresh and maintenance
Work with cross-functional teams to deliver product changes
Bachelor or above degree in computer science or a related technical discipline
At least 2 years of industrial experience
Solid experience in at least one of the following areas: machine learning, NLP, data mining
Experience in popular open source machine learning platform is a plus
Solid coding skill and good understanding of algorithms
Great communication and teamwork skills
Passion about techniques and solving challenging problems

TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We believe individuals shouldn't be disadvantaged because of their background or identity, but instead should be considered based on their strengths and experience. We are passionate about this and hope you are too.

TikTok is committed to providing reasonable accommodations during our recruitment process. If you need assistance or an accommodation, please reach out to us at usrc@tiktok.com.","NLP, ML, Data Mining, Coding, Algorithms",High,,"Mountain View, CA 94041 (Old Mountain View area)+42 locations",Posted30+ days ago,https://www.indeed.com/rc/clk?jk=e0c9682747f7fa59&fccid=caed318a9335aac0&vjs=3
